方法,分类,注释,参数,解释,例子
amac_manager_cancelled_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-诚信信息公示-已注销私募基金管理人名单,,中国证券投资基金业协会-信息公示-诚信信息公示-已注销私募基金管理人名单\nhttps://gs.amac.org.cn/amac-infodisc/res/cancelled/manager/index.html\n主动注销: 100\n依公告注销: 200\n协会注销: 300\n:return: 已注销私募基金管理人名单\n:rtype: pandas.DataFrame,
amac_manager_classify_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-私募基金管理人公示-私募基金管理人分类公示,,中国证券投资基金业协会-信息公示-私募基金管理人公示-私募基金管理人分类公示\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/manager/managerList.html\n:return: 私募基金管理人分类公示\n:rtype: pandas.DataFrame,
amac_manager_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-私募基金管理人公示-私募基金管理人综合查询,,中国证券投资基金业协会-信息公示-私募基金管理人公示-私募基金管理人综合查询\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/manager/index.html\n:return: 私募基金管理人综合查询\n:rtype: pandas.DataFrame,
amac_member_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-会员信息-会员机构综合查询,,中国证券投资基金业协会-信息公示-会员信息-会员机构综合查询\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/member/index.html\n:return: 会员机构综合查询\n:rtype: pandas.DataFrame,
amac_member_sub_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-私募基金管理人公示-证券公司私募基金子公司管理人信息公示,,中国证券投资基金业协会-信息公示-私募基金管理人公示-证券公司私募基金子公司管理人信息公示\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/member/index.html?primaryInvestType=private\n:return: 证券公司私募基金子公司管理人信息公示\n:rtype: pandas.DataFrame,
amac_person_bond_org_list,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-从业人员信息-债券投资交易相关人员公示,,中国证券投资基金业协会-信息公示-从业人员信息-债券投资交易相关人员公示\nhttps://human.amac.org.cn/web/org/personPublicity.html\n:return: 债券投资交易相关人员公示\n:rtype: pandas.DataFrame,
amac_person_fund_org_list,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-从业人员信息-基金从业人员资格注册信息,symbol,"中国证券投资基金业协会-信息公示-从业人员信息-基金从业人员资格注册信息\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/person/personOrgList.html\n:param symbol: choice of {""公募基金管理公司"", ""公募基金管理公司资管子公司"", ""商业银行"", ""证券公司"", ""证券公司子公司"",\n""私募基金管理人"", ""保险公司子公司"", ""保险公司"", ""外包服务机构"", ""期货公司"", ""期货公司资管子公司"", ""媒体机构"",\n""证券投资咨询机构"", ""评价机构"", ""外资私募证券基金管理人"", ""支付结算"", ""独立服务机构"", ""地方自律组织"", ""境外机构"",\n""律师事务所"", ""会计师事务所"", ""交易所"", ""独立第三方销售机构"", ""证券公司资管子公司"", ""证券公司私募基金子公司"", ""其他""}\n:type symbol: str\n:return: 基金从业人员资格注册信息\n:rtype: pandas.DataFrame",
amac_securities_info,中国证券投资基金业协会-信息公示,中国证券投资基金业协会-信息公示-基金产品公示-证券公司集合资管产品公示,,中国证券投资基金业协会-信息公示-基金产品公示-证券公司集合资管产品公示\nhttps://gs.amac.org.cn/amac-infodisc/res/pof/securities/index.html\n:return: 证券公司集合资管产品公示\n:rtype: pandas.DataFrame,
article_epu_index,经济政策不确定性指数,经济政策不确定性指数,symbol,"经济政策不确定性指数\nhttps://www.policyuncertainty.com/index.html\n:param symbol: 指定的国家名称, e.g. “China”\n:type symbol: str\n:return: 经济政策不确定性指数数据\n:rtype: pandas.DataFrame",
article_ff_crr,FF多因子数据接口,FF多因子模型,,FF多因子模型\nhttps://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html\n:return: FF多因子模型单一表格\n:rtype: pandas.DataFrame,
article_oman_rv,Realized Library 接口,Oxford-Man Institute of Quantitative Finance Realized Library 的数据,symbol;index,"Oxford-Man Institute of Quantitative Finance Realized Library 的数据\n:param symbol: str ['AEX', 'AORD', 'BFX', 'BSESN', 'BVLG', 'BVSP', 'DJI', 'FCHI', 'FTMIB', 'FTSE', 'GDAXI', 'GSPTSE', 'HSI', 'IBEX', 'IXIC', 'KS11', 'KSE', 'MXX', 'N225', 'NSEI', 'OMXC20', 'OMXHPI', 'OMXSPI', 'OSEAX', 'RUT', 'SMSI', 'SPX', 'SSEC', 'SSMI', 'STI', 'STOXX50E']\n:param index: str 指标 ['medrv', 'rk_twoscale', 'bv', 'rv10', 'rv5', 'rk_th2', 'rv10_ss', 'rsv', 'rv5_ss', 'bv_ss', 'rk_parzen', 'rsv_ss']\n:return: pandas.DataFrame\n\nThe Oxford-Man Institute's ""realised library"" contains daily non-parametric measures of how volatility financial assets or indexes were in the past. Each day's volatility measure depends solely on financial data from that day. They are driven by the use of the latest innovations in econometric modelling and theory to design them, while we draw our high frequency data from the Thomson Reuters DataScope Tick History database. Realised measures are not volatility forecasts. However, some researchers use these measures as an input into forecasting models. The aim of this line of research is to make financial markets more transparent by exposing how volatility changes through time.\n\nThis Library is used as the basis of some of our own research, which effects its scope, and is made available here to encourage the more widespread exploitation of these methods. It is given 'as is' and solely for informational purposes, please read the disclaimer.\n\nThe volatility data can be visually explored. We make the complete up-to-date dataset available for download. Lists of assets covered and realized measures available are also available.\n| Symbol    | Name                                      | Earliest Available | Latest Available  |\n|-----------|-------------------------------------------|--------------------|-------------------|\n| .AEX      | AEX index                                 | January 03, 2000   | November 28, 2019 |\n| .AORD     | All Ordinaries                            | January 04, 2000   | November 28, 2019 |\n| .BFX      | Bell 20 Index                             | January 03, 2000   | November 28, 2019 |\n| .BSESN    | S&P BSE Sensex                            | January 03, 2000   | November 28, 2019 |\n| .BVLG     | PSI All-Share Index                       | October 15, 2012   | November 28, 2019 |\n| .BVSP     | BVSP BOVESPA Index                        | January 03, 2000   | November 28, 2019 |\n| .DJI      | Dow Jones Industrial Average              | January 03, 2000   | November 27, 2019 |\n| .FCHI     | CAC 40                                    | January 03, 2000   | November 28, 2019 |\n| .FTMIB    | FTSE MIB                                  | June 01, 2009      | November 28, 2019 |\n| .FTSE     | FTSE 100                                  | January 04, 2000   | November 28, 2019 |\n| .GDAXI    | DAX                                       | January 03, 2000   | November 28, 2019 |\n| .GSPTSE   | S&P/TSX Composite index                   | May 02, 2002       | November 28, 2019 |\n| .HSI      | HANG SENG Index                           | January 03, 2000   | November 28, 2019 |\n| .IBEX     | IBEX 35 Index                             | January 03, 2000   | November 28, 2019 |\n| .IXIC     | Nasdaq 100                                | January 03, 2000   | November 27, 2019 |\n| .KS11     | Korea Composite Stock Price Index (KOSPI) | January 04, 2000   | November 28, 2019 |\n| .KSE      | Karachi SE 100 Index                      | January 03, 2000   | November 28, 2019 |\n| .MXX      | IPC Mexico                                | January 03, 2000   | November 28, 2019 |\n| .N225     | Nikkei 225                                | February 02, 2000  | November 28, 2019 |\n| .NSEI     | NIFTY 50                                  | January 03, 2000   | November 28, 2019 |\n| .OMXC20   | OMX Copenhagen 20 Index                   | October 03, 2005   | November 28, 2019 |\n| .OMXHPI   | OMX Helsinki All Share Index              | October 03, 2005   | November 28, 2019 |\n| .OMXSPI   | OMX Stockholm All Share Index             | October 03, 2005   | November 28, 2019 |\n| .OSEAX    | Oslo Exchange All-share Index             | September 03, 2001 | November 28, 2019 |\n| .RUT      | Russel 2000                               | January 03, 2000   | November 27, 2019 |\n| .SMSI     | Madrid General Index                      | July 04, 2005      | November 28, 2019 |\n| .SPX      | S&P 500 Index                             | January 03, 2000   | November 27, 2019 |\n| .SSEC     | Shanghai Composite Index                  | January 04, 2000   | November 28, 2019 |\n| .SSMI     | Swiss Stock Market Index                  | January 04, 2000   | November 28, 2019 |\n| .STI      | Straits Times Index                       | January 03, 2000   | November 28, 2019 |\n| .STOXX50E | EURO STOXX 50                             | January 03, 2000   | November 28, 2019 |",
article_oman_rv_short,Realized Library 接口,Oxford-Man Institute of Quantitative Finance Realized Library 的数据,symbol,"Oxford-Man Institute of Quantitative Finance Realized Library 的数据\n:param symbol: str FTSE: FTSE 100, GDAXI: DAX, RUT: Russel 2000, SPX: S&P 500 Index, STOXX50E: EURO STOXX 50, SSEC: Shanghai Composite Index, N225: Nikkei 225\n:return: pandas.DataFrame\n\nThe Oxford-Man Institute's ""realised library"" contains daily non-parametric measures of how volatility financial assets or indexes were in the past. Each day's volatility measure depends solely on financial data from that day. They are driven by the use of the latest innovations in econometric modelling and theory to design them, while we draw our high frequency data from the Thomson Reuters DataScope Tick History database. Realised measures are not volatility forecasts. However, some researchers use these measures as an input into forecasting models. The aim of this line of research is to make financial markets more transparent by exposing how volatility changes through time.\n\nThis Library is used as the basis of some of our own research, which effects its scope, and is made available here to encourage the more widespread exploitation of these methods. It is given 'as is' and solely for informational purposes, please read the disclaimer.\n\nThe volatility data can be visually explored. We make the complete up-to-date dataset available for download. Lists of assets covered and realized measures available are also available.",
article_rlab_rv,Realized Library 接口,修大成主页-Risk Lab-Realized Volatility,symbol,"修大成主页-Risk Lab-Realized Volatility\n:param symbol: str 股票代码\n:return: pandas.DataFrame\n1996-01-02    0.000000\n1996-01-04    0.000000\n1996-01-05    0.000000\n1996-01-09    0.000000\n1996-01-10    0.000000\n                ...\n2019-11-04    0.175107\n2019-11-05    0.185112\n2019-11-06    0.210373\n2019-11-07    0.240808\n2019-11-08    0.199549\nName: RV, Length: 5810, dtype: float64\n\nWebsite\nhttps://dachxiu.chicagobooth.edu/\n\nObjective\nWe provide up-to-date daily annualized realized volatilities for individual stocks, ETFs, and future contracts, which are estimated from high-frequency data. We are in the process of incorporating equities from global markets.\n\nData\nWe collect trades at their highest frequencies available (up to every millisecond for US equities after 2007), and clean them using the prevalent national best bid and offer (NBBO) that are available up to every second. The mid-quotes are calculated based on the NBBOs, so their highest sampling frequencies are also up to every second.\n\nMethodology\nWe provide quasi-maximum likelihood estimates of volatility (QMLE) based on moving-average models MA(q), using non-zero returns of transaction prices (or mid-quotes if available) sampled up to their highest frequency available, for days with at least 12 observations. We select the best model (q) using Akaike Information Criterion (AIC). For comparison, we report realized volatility (RV) estimates using 5-minute and 15-minute subsampled returns.\n\nReferences\n1. “When Moving-Average Models Meet High-Frequency Data: Uniform Inference on Volatility”, by Rui Da and Dacheng Xiu. 2017.\n2. “Quasi-Maximum Likelihood Estimation of Volatility with High Frequency Data”, by Dacheng Xiu. Journal of Econometrics, 159 (2010), 235-250.\n3. “How Often to Sample A Continuous-time Process in the Presence of Market Microstructure Noise”, by Yacine Aït-Sahalia, Per Mykland, and Lan Zhang. Review of Financial Studies, 18 (2005), 351–416.\n4. “The Distribution of Exchange Rate Volatility”, by Torben Andersen, Tim Bollerslev, Francis X. Diebold, and Paul Labys. Journal of the American Statistical Association, 96 (2001), 42-55.\n5. “Econometric Analysis of Realized Volatility and Its Use in Estimating Stochastic Volatility Models”, by Ole E Barndorff‐Nielsen and Neil Shephard. Journal of the Royal Statistical Society: Series B, 64 (2002), 253-280.",
bank_fjcf_table_detail,银保监分局本级行政处罚数据,获取 首页-政务信息-行政处罚-银保监分局本级-XXXX行政处罚信息公开表 数据,page;item;begin,"获取 首页-政务信息-行政处罚-银保监分局本级-XXXX行政处罚信息公开表 数据\n:param page: 需要获取前 page 页的内容, 总页数请通过 ak.bank_fjcf_total_page() 获取\n:type page: int\n:param item: choice of {""机关"", ""本级"", ""分局本级""}\n:type item: str\n:param begin: 开始页面\n:type begin: int\n:return: 返回所有行政处罚信息公开表的集合, 按第一页到最后一页的顺序排列\n:rtype: pandas.DataFrame",
bond_buy_back_hist_em,东方财富网-行情中心-债券市场-质押式回购,东方财富网-行情中心-债券市场-质押式回购-历史数据,symbol,东方财富网-行情中心-债券市场-质押式回购-历史数据\nhttps://quote.eastmoney.com/center/gridlist.html#bond_sh_buyback\n:param symbol: 质押式回购代码\n:type symbol: str\n:return: 历史数据\n:rtype: pandas.DataFrame,
bond_cash_summary_sse,债券概览,上登债券信息网-市场数据-市场统计-市场概览-债券现券市场概览,date,上登债券信息网-市场数据-市场统计-市场概览-债券现券市场概览\nhttp://bond.sse.com.cn/data/statistics/overview/bondow/\n:param date: 指定日期\n:type date: str\n:return: 债券成交概览\n:rtype: pandas.DataFrame,
bond_cb_adj_logs_jsl,债券-沪深债券,集思录-可转债转股价-调整记录,symbol,集思录-可转债转股价-调整记录\nhttps://www.jisilu.cn/data/cbnew/#cb\n:param symbol: 可转债代码\n:type symbol: str\n:return: 转股价调整记录\n:rtype: pandas.DataFrame,
bond_cb_index_jsl,债券-沪深债券,首页-可转债-集思录可转债等权指数,,首页-可转债-集思录可转债等权指数\nhttps://www.jisilu.cn/web/data/cb/index\n:return: 集思录可转债等权指数\n:rtype: pandas.DataFrame,
bond_cb_jsl,债券-沪深债券,集思录可转债,cookie,集思录可转债\nhttps://www.jisilu.cn/data/cbnew/#cb\n:param cookie: 输入获取到的游览器 cookie\n:type cookie: str\n:return: 集思录可转债\n:rtype: pandas.DataFrame,
bond_cb_profile_sina,新浪财经-债券-可转债,新浪财经-债券-可转债-详情资料,symbol,新浪财经-债券-可转债-详情资料\nhttps://money.finance.sina.com.cn/bond/info/sz128039.html\n:param symbol: 带市场标识的转债代码\n:type symbol: str\n:return: 可转债-详情资料\n:rtype: pandas.DataFrame,
bond_cb_redeem_jsl,债券-沪深债券,集思录可转债-强赎,,集思录可转债-强赎\nhttps://www.jisilu.cn/data/cbnew/#redeem\n:return: 集思录可转债-强赎\n:rtype: pandas.DataFrame,
bond_cb_summary_sina,新浪财经-债券-可转债,新浪财经-债券-可转债-债券概况,symbol,新浪财经-债券-可转债-债券概况\nhttps://money.finance.sina.com.cn/bond/quotes/sh155255.html\n:param symbol: 带市场标识的转债代码\n:type symbol: str\n:return: 可转债-债券概况\n:rtype: pandas.DataFrame,
bond_china_close_return,债券收盘收益率曲线历史数据,收盘收益率曲线历史数据,symbol;period;start_date;end_date,"收盘收益率曲线历史数据\nhttps://www.chinamoney.com.cn/chinese/bkcurvclosedyhis/?bondType=CYCC000&reference=1\n:param symbol: 需要获取的指标\n:type period: choice of {'0.1', '0.5', '1'}\n:param period: 期限间隔\n:type symbol: str\n:param start_date: 开始日期, 结束日期和开始日期不要超过 1 个月\n:type start_date: str\n:param end_date: 结束日期, 结束日期和开始日期不要超过 1 个月\n:type end_date: str\n:return: 收盘收益率曲线历史数据\n:rtype: pandas.DataFrame",
bond_china_close_return_map,债券收盘收益率曲线历史数据,收盘收益率曲线历史数据,,,
bond_china_yield,债券行情,中国债券信息网-国债及其他债券收益率曲线,start_date;end_date,"中国债券信息网-国债及其他债券收益率曲线\nhttps://www.chinabond.com.cn/\nhttps://yield.chinabond.com.cn/cbweb-pbc-web/pbc/historyQuery?startDate=2019-02-07&endDate=2020-02-04&gjqx=0&qxId=ycqx&locale=cn_ZH\n注意: end_date - start_date 应该小于一年\n:param start_date: 需要查询的日期, 返回在该日期之后一年内的数据\n:type start_date: str\n:param end_date: 需要查询的日期, 返回在该日期之前一年内的数据\n:type end_date: str\n:return: 返回在指定日期之间之前一年内的数据\n:rtype: pandas.DataFrame",
bond_composite_index_cbond,中国债券信息网-中债指数-中债指数族系-总指数-综合类指数,中国债券信息网-中债指数-中债指数族系-总指数-综合类指数-中债-综合指数,indicator;period,"中国债券信息网-中债指数-中债指数族系-总指数-综合类指数-中债-综合指数\nhttps://yield.chinabond.com.cn/cbweb-mn/indices/single_index_query\n:param indicator: choice of {""全价"", ""净价"", ""财富"", ""平均市值法久期"", ""平均现金流法久期"", ""平均市值法凸性"", ""平均现金流法凸性"", ""平均现金流法到期收益率"", ""平均市值法到期收益率"", ""平均基点价值"", ""平均待偿期"", ""平均派息率"", ""指数上日总市值"", ""财富指数涨跌幅"", ""全价指数涨跌幅"", ""净价指数涨跌幅"", ""现券结算量""}\n:type indicator: str\n:param period: choice of {""总值"", ""1年以下"", ""1-3年"", ""3-5年"", ""5-7年"", ""7-10年"", ""10年以上"", ""0-3个月"", ""3-6个月"", ""6-9个月"", ""9-12个月"", ""0-6个月"", ""6-12个月""}\n:type period: str\n:return: 新综合指数\n:rtype: pandas.DataFrame",
bond_corporate_issue_cninfo,巨潮资讯-数据中心-专题统计-债券报表-债券发行,巨潮资讯-数据中心-专题统计-债券报表-债券发行-企业债发行,start_date;end_date,巨潮资讯-数据中心-专题统计-债券报表-债券发行-企业债发行\nhttp://webapi.cninfo.com.cn/#/thematicStatistics\n:param start_date: 开始统计时间\n:type start_date: str\n:param end_date: 开始统计时间\n:type end_date: str\n:return: 企业债发行\n:rtype: pandas.DataFrame,
bond_cov_comparison,债券-沪深债券,东方财富网-行情中心-债券市场-可转债比价表,,东方财富网-行情中心-债券市场-可转债比价表\nhttps://quote.eastmoney.com/center/fullscreenlist.html#convertible_comparison\n:return: 可转债比价表数据\n:rtype: pandas.DataFrame,
bond_cov_issue_cninfo,巨潮资讯-数据中心-专题统计-债券报表-债券发行,巨潮资讯-数据中心-专题统计-债券报表-债券发行-可转债发行,start_date;end_date,巨潮资讯-数据中心-专题统计-债券报表-债券发行-可转债发行\nhttp://webapi.cninfo.com.cn/#/thematicStatistics\n:param start_date: 开始统计时间\n:type start_date: str\n:param end_date: 开始统计时间\n:type end_date: str\n:return: 可转债发行\n:rtype: pandas.DataFrame,
bond_cov_stock_issue_cninfo,巨潮资讯-数据中心-专题统计-债券报表-债券发行,巨潮资讯-数据中心-专题统计-债券报表-债券发行-可转债转股,,巨潮资讯-数据中心-专题统计-债券报表-债券发行-可转债转股\nhttp://webapi.cninfo.com.cn/#/thematicStatistics\n:return: 可转债转股\n:rtype: pandas.DataFrame,
bond_deal_summary_sse,债券概览,上登债券信息网-市场数据-市场统计-市场概览-债券成交概览,date,上登债券信息网-市场数据-市场统计-市场概览-债券成交概览\nhttp://bond.sse.com.cn/data/statistics/overview/turnover/\n:param date: 指定日期\n:type date: str\n:return: 债券成交概览\n:rtype: pandas.DataFrame,
bond_debt_nafmii,中国银行间市场交易商协会,中国银行间市场交易商协会-非金融企业债务融资工具注册信息系统,page,中国银行间市场交易商协会-非金融企业债务融资工具注册信息系统\nhttp://zhuce.nafmii.org.cn/fans/publicQuery/manager\n:param page: 输入数字页码\n:type page: int\n:return: 指定 sector 和 indicator 的数据\n:rtype: pandas.DataFrame,
bond_info_cm,债券信息查询,中国外汇交易中心暨全国银行间同业拆借中心-数据-债券信息-信息查询,,,
bond_info_cm_query,债券信息查询,中国外汇交易中心暨全国银行间同业拆借中心-查询相关指标的参数,,,
bond_info_detail_cm,债券信息查询,中国外汇交易中心暨全国银行间同业拆借中心-数据-债券信息-信息查询-债券详情,,,
bond_local_government_issue_cninfo,巨潮资讯-数据中心-专题统计-债券报表-债券发行,巨潮资讯-数据中心-专题统计-债券报表-债券发行-地方债发行,start_date;end_date,巨潮资讯-数据中心-专题统计-债券报表-债券发行-地方债发行\nhttp://webapi.cninfo.com.cn/#/thematicStatistics\n:param start_date: 开始统计时间\n:type start_date: str\n:param end_date: 开始统计时间\n:type end_date: str\n:return: 地方债发行\n:rtype: pandas.DataFrame,
bond_new_composite_index_cbond,中国债券信息网-中债指数-中债指数族系-总指数-综合类指数,中国债券信息网-中债指数-中债指数族系-总指数-综合类指数-中债-新综合指数,indicator;period,"中国债券信息网-中债指数-中债指数族系-总指数-综合类指数-中债-新综合指数\nhttps://yield.chinabond.com.cn/cbweb-mn/indices/single_index_query\n:param indicator: choice of {""全价"", ""净价"", ""财富"", ""平均市值法久期"", ""平均现金流法久期"", ""平均市值法凸性"", ""平均现金流法凸性"", ""平均现金流法到期收益率"", ""平均市值法到期收益率"", ""平均基点价值"", ""平均待偿期"", ""平均派息率"", ""指数上日总市值"", ""财富指数涨跌幅"", ""全价指数涨跌幅"", ""净价指数涨跌幅"", ""现券结算量""}\n:type indicator: str\n:param period: choice of {""总值"", ""1年以下"", ""1-3年"", ""3-5年"", ""5-7年"", ""7-10年"", ""10年以上"", ""0-3个月"", ""3-6个月"", ""6-9个月"", ""9-12个月"", ""0-6个月"", ""6-12个月""}\n:type period: str\n:return: 新综合指数\n:rtype: pandas.DataFrame",
bond_sh_buy_back_em,东方财富网-行情中心-债券市场-质押式回购,获取债券回购历史行情数据,,东方财富网-行情中心-债券市场-上证质押式回购\nhttps://quote.eastmoney.com/center/gridlist.html#bond_sh_buyback\n:return: 上证质押式回购\n:rtype: pandas.DataFrame,
bond_spot_deal,债券行情,中国外汇交易中心暨全国银行间同业拆借中心-市场数据-债券市场行情-现券市场成交行情,,中国外汇交易中心暨全国银行间同业拆借中心-市场数据-债券市场行情-现券市场成交行情\nhttps://www.chinamoney.com.cn/chinese/mkdatabond/\n:return: 现券市场成交行情\n:rtype: pandas.DataFrame,
bond_spot_quote,债券行情,中国外汇交易中心暨全国银行间同业拆借中心-市场数据-债券市场行情-现券市场做市报价,,中国外汇交易中心暨全国银行间同业拆借中心-市场数据-债券市场行情-现券市场做市报价\nhttps://www.chinamoney.com.cn/chinese/mkdatabond/\n:return: 现券市场做市报价\n:rtype: pandas.DataFrame,
bond_sz_buy_back_em,东方财富网-行情中心-债券市场-质押式回购,获取深圳债券回购实时行情数据,,东方财富网-行情中心-债券市场-深证质押式回购\nhttps://quote.eastmoney.com/center/gridlist.html#bond_sz_buyback\n:return: 深证质押式回购\n:rtype: pandas.DataFrame,
bond_sz_buy_back_em,东方财富网-行情中心-债券市场-质押式回购,东方财富网-行情中心-债券市场-深证质押式回购,,东方财富网-行情中心-债券市场-深证质押式回购\nhttps://quote.eastmoney.com/center/gridlist.html#bond_sz_buyback\n:return: 深证质押式回购\n:rtype: pandas.DataFrame,
bond_treasure_issue_cninfo,巨潮资讯-数据中心-专题统计-债券报表-债券发行,巨潮资讯-数据中心-专题统计-债券报表-债券发行-国债发行,start_date;end_date,巨潮资讯-数据中心-专题统计-债券报表-债券发行-国债发行\nhttp://webapi.cninfo.com.cn/#/thematicStatistics\n:param start_date: 开始统计时间\n:type start_date: str\n:param end_date: 结束统计数据\n:type end_date: str\n:return: 国债发行\n:rtype: pandas.DataFrame,
bond_zh_cov,债券-沪深债券,东方财富网-数据中心-新股数据-可转债数据,,东方财富网-数据中心-新股数据-可转债数据\nhttps://data.eastmoney.com/kzz/default.html\n:return: 可转债数据\n:rtype: pandas.DataFrame,
bond_zh_cov_info,债券-沪深债券,https://data.eastmoney.com/kzz/detail/123121.html,symbol;indicator,"https://data.eastmoney.com/kzz/detail/123121.html\n东方财富网-数据中心-新股数据-可转债详情\n:param symbol: 可转债代码\n:type symbol: str\n:param indicator: choice of {""基本信息"", ""中签号"", ""筹资用途"", ""重要日期""}\n:type indicator: str\n:return: 可转债详情\n:rtype: pandas.DataFrame",
bond_zh_cov_info_ths,同花顺-数据中心-可转债,同花顺-数据中心-可转债,,同花顺-数据中心-可转债\nhttps://data.10jqka.com.cn/ipo/bond/\n:return: 可转债行情\n:rtype: pandas.DataFrame,
bond_zh_cov_value_analysis,债券-沪深债券,https://data.eastmoney.com/kzz/detail/113527.html,symbol,https://data.eastmoney.com/kzz/detail/113527.html\n东方财富网-数据中心-新股数据-可转债数据-价值分析-溢价率分析\n:return: 可转债价值分析\n:rtype: pandas.DataFrame,
